Posted On,BHK,Rent,Size,Floor,Area Locality,City,Bathroom,Area Type_Carpet Area,Area Type_Super Area,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Builder,Point of Contact_Contact Owner
2022-04-29,4,18000,1200,1 out of 2,Bagbazar,Kolkata,2,0,1,0,1,0,1,0,1
2022-06-13,2,15000,900,1 out of 2,Salt Lake City Sector 1,Kolkata,2,1,0,1,0,1,0,0,0
2022-06-13,3,22000,1300,Ground out of 2,Salt Lake City Sector 2,Kolkata,3,1,0,0,1,1,0,0,0
2022-06-13,4,35000,1600,1 out of 5,Salt Lake City Sector 3,Kolkata,3,1,0,0,1,1,0,0,0
2022-05-14,3,21000,1450,Ground out of 1,Ajoy Nagar,Kolkata,2,0,1,0,1,0,1,0,1
2022-07-06,2,25000,1100,2 out of 2,"Action Area 1, Rajarhat Newtown",Kolkata,2,0,1,0,0,0,0,0,0
2022-06-16,2,180000,950,Ground out of 1,"Avenue S, Santoshpur",Kolkata,2,1,0,0,1,1,0,0,1
2022-06-06,1,6000,600,8 out of 5,Pratiraksha Nagar,Kolkata,1,1,0,0,1,1,0,0,1
2022-07-04,2,14000,700,Ground out of 2,"Kudghat, Ashok Nagar",Kolkata,2,1,0,0,1,1,0,0,1
2022-05-15,3,8000,750,Ground out of 2,"Sakher Bazar, Purba Barisha",Kolkata,1,0,1,0,1,0,1,0,1
2022-05-04,2,8000,1000,Ground out of 1,"Purbasan, Thakurpukur",Kolkata,1,0,1,0,1,1,0,0,1
2022-04-25,1,6000,220,Ground out of 2,"Bidhan Pally, Bansdroni",Kolkata,1,0,1,0,0,1,0,0,1
2022-05-21,1,8000,300,1 out of 3,"Naktala, Garia",Kolkata,1,1,0,1,0,0,0,0,0
2022-06-27,1,6000,300,Ground out of 1,Tiljala Road,Kolkata,1,1,0,0,1,1,0,0,0
2022-07-02,1,20000,700,1 out of 2,Sankaritola,Kolkata,1,0,1,1,0,1,0,0,1
2022-07-06,3,12000,800,Ground out of 1,"Parnashree Lake, Behala",Kolkata,2,0,1,0,1,1,0,0,1
2022-04-28,3,15000,1600,1 out of 3,Garia,Kolkata,2,0,1,0,1,1,0,0,1
2022-05-15,2,14000,1000,1 out of 3,Kasba,Kolkata,2,1,0,0,1,1,0,0,1
2022-05-30,1,5000,20,2 out of 3,Dakshineswar,Kolkata,1,0,1,0,1,1,0,0,1
2022-06-10,2,7000,400,Ground out of 2,chatana,Kolkata,1,1,0,0,1,1,0,0,1
2022-06-23,1,3900,200,2 out of 2,Shyam Bazar,Kolkata,1,0,1,0,0,1,0,0,1
2022-06-09,3,14000,840,1 out of 4,Mukundapur,Kolkata,2,1,0,0,1,0,0,0,1
2022-06-19,1,6300,300,1 out of 1,Salt Lake City Sector 5,Kolkata,1,1,0,0,1,1,0,0,0
2022-07-03,2,13000,550,1 out of 2,Salt Lake City Sector 5,Kolkata,2,1,0,0,0,1,0,0,0
2022-07-03,1,6800,300,1 out of 2,Salt Lake City Sector 5,Kolkata,1,1,0,0,1,1,0,0,0
2022-05-14,2,8000,800,1 out of 1,Behala Chowrasta,Kolkata,2,0,1,0,1,1,0,0,1
2022-05-10,2,10000,740,Ground out of 6,Sonarpur,Kolkata,1,1,0,0,1,0,0,0,1
2022-04-25,2,18000,1300,1 out of 1,Santoshpur,Kolkata,2,0,1,0,1,1,0,0,1
2022-06-13,2,8000,650,Ground out of 1,"Garia Station, Garia",Kolkata,1,0,1,1,0,1,0,0,1
2022-05-06,2,8000,490,1 out of 1,Entally,Kolkata,1,0,1,1,0,1,0,0,1
2022-06-08,1,4700,250,2 out of 2,Kaikhali,Kolkata,1,0,1,0,0,1,0,0,1
